file,line,type,commit,author,date,time,timezone,datetime,depth,length
style.css,49,css,5e7ffe39,Jacob Kavanal,2026-04-09,11:17:54,-07:00,2026-04-09T11:17:54-07:00,0,0
style.css,50,css,5e7ffe39,Jacob Kavanal,2026-04-09,11:17:54,-07:00,2026-04-09T11:17:54-07:00,0,0
style.css,51,css,5e7ffe39,Jacob Kavanal,2026-04-09,11:17:54,-07:00,2026-04-09T11:17:54-07:00,0,11
style.css,52,css,5e7ffe39,Jacob Kavanal,2026-04-09,11:17:54,-07:00,2026-04-09T11:17:54-07:00,2,45
style.css,53,css,5e7ffe39,Jacob Kavanal,2026-04-09,11:17:54,-07:00,2026-04-09T11:17:54-07:00,2,20
style.css,54,css,5e7ffe39,Jacob Kavanal,2026-04-09,11:17:54,-07:00,2026-04-09T11:17:54-07:00,0,0
style.css,55,css,5e7ffe39,Jacob Kavanal,2026-04-09,11:17:54,-07:00,2026-04-09T11:17:54-07:00,0,0
style.css,56,css,5e7ffe39,Jacob Kavanal,2026-04-09,11:17:54,-07:00,2026-04-09T11:17:54-07:00,0,4
style.css,57,css,5e7ffe39,Jacob Kavanal,2026-04-09,11:17:54,-07:00,2026-04-09T11:17:54-07:00,2,12
style.css,58,css,5e7ffe39,Jacob Kavanal,2026-04-09,11:17:54,-07:00,2026-04-09T11:17:54-07:00,2,30
style.css,59,css,5e7ffe39,Jacob Kavanal,2026-04-09,11:17:54,-07:00,2026-04-09T11:17:54-07:00,2,7
style.css,60,css,5e7ffe39,Jacob Kavanal,2026-04-09,11:17:54,-07:00,2026-04-09T11:17:54-07:00,0,0
style.css,61,css,5e7ffe39,Jacob Kavanal,2026-04-09,11:17:54,-07:00,2026-04-09T11:17:54-07:00,0,0
style.css,62,css,5e7ffe39,Jacob Kavanal,2026-04-09,11:17:54,-07:00,2026-04-09T11:17:54-07:00,0,5
style.css,63,css,5e7ffe39,Jacob Kavanal,2026-04-09,11:17:54,-07:00,2026-04-09T11:17:54-07:00,2,12
style.css,64,css,5e7ffe39,Jacob Kavanal,2026-04-09,11:17:54,-07:00,2026-04-09T11:17:54-07:00,2,29
style.css,65,css,5e7ffe39,Jacob Kavanal,2026-04-09,11:17:54,-07:00,2026-04-09T11:17:54-07:00,2,18
style.css,66,css,5e7ffe39,Jacob Kavanal,2026-04-09,11:17:54,-07:00,2026-04-09T11:17:54-07:00,0,0
style.css,67,css,5e7ffe39,Jacob Kavanal,2026-04-09,11:17:54,-07:00,2026-04-09T11:17:54-07:00,0,0
style.css,68,css,5e7ffe39,Jacob Kavanal,2026-04-09,11:17:54,-07:00,2026-04-09T11:17:54-07:00,0,6
style.css,69,css,5e7ffe39,Jacob Kavanal,2026-04-09,11:17:54,-07:00,2026-04-09T11:17:54-07:00,2,18
style.css,70,css,5e7ffe39,Jacob Kavanal,2026-04-09,11:17:54,-07:00,2026-04-09T11:17:54-07:00,0,0
style.css,71,css,5e7ffe39,Jacob Kavanal,2026-04-09,11:17:54,-07:00,2026-04-09T11:17:54-07:00,0,0
style.css,72,css,5e7ffe39,Jacob Kavanal,2026-04-09,11:17:54,-07:00,2026-04-09T11:17:54-07:00,0,4
style.css,73,css,5e7ffe39,Jacob Kavanal,2026-04-09,11:17:54,-07:00,2026-04-09T11:17:54-07:00,0,7
style.css,74,css,5e7ffe39,Jacob Kavanal,2026-04-09,11:17:54,-07:00,2026-04-09T11:17:54-07:00,0,6
style.css,75,css,5e7ffe39,Jacob Kavanal,2026-04-09,11:17:54,-07:00,2026-04-09T11:17:54-07:00,2,12
style.css,76,css,5e7ffe39,Jacob Kavanal,2026-04-09,11:17:54,-07:00,2026-04-09T11:17:54-07:00,0,0
style.css,77,css,5e7ffe39,Jacob Kavanal,2026-04-09,11:17:54,-07:00,2026-04-09T11:17:54-07:00,0,0
style.css,78,css,5e7ffe39,Jacob Kavanal,2026-04-09,11:17:54,-07:00,2026-04-09T11:17:54-07:00,0,4
style.css,79,css,5e7ffe39,Jacob Kavanal,2026-04-09,11:17:54,-07:00,2026-04-09T11:17:54-07:00,0,8
style.css,80,css,5e7ffe39,Jacob Kavanal,2026-04-09,11:17:54,-07:00,2026-04-09T11:17:54-07:00,2,10
style.css,81,css,5e7ffe39,Jacob Kavanal,2026-04-09,11:17:54,-07:00,2026-04-09T11:17:54-07:00,2,21
style.css,82,css,5e7ffe39,Jacob Kavanal,2026-04-09,11:17:54,-07:00,2026-04-09T11:17:54-07:00,0,0
style.css,83,css,5e7ffe39,Jacob Kavanal,2026-04-09,11:17:54,-07:00,2026-04-09T11:17:54-07:00,0,0
style.css,84,css,5e7ffe39,Jacob Kavanal,2026-04-09,11:17:54,-07:00,2026-04-09T11:17:54-07:00,0,9
style.css,85,css,5e7ffe39,Jacob Kavanal,2026-04-09,11:17:54,-07:00,2026-04-09T11:17:54-07:00,2,12
style.css,86,css,5e7ffe39,Jacob Kavanal,2026-04-09,11:17:54,-07:00,2026-04-09T11:17:54-07:00,2,58
style.css,87,css,5e7ffe39,Jacob Kavanal,2026-04-09,11:17:54,-07:00,2026-04-09T11:17:54-07:00,2,7
style.css,88,css,5e7ffe39,Jacob Kavanal,2026-04-09,11:17:54,-07:00,2026-04-09T11:17:54-07:00,0,0
style.css,89,css,5e7ffe39,Jacob Kavanal,2026-04-09,11:17:54,-07:00,2026-04-09T11:17:54-07:00,0,0
style.css,90,css,5e7ffe39,Jacob Kavanal,2026-04-09,11:17:54,-07:00,2026-04-09T11:17:54-07:00,0,17
style.css,91,css,5e7ffe39,Jacob Kavanal,2026-04-09,11:17:54,-07:00,2026-04-09T11:17:54-07:00,2,12
style.css,92,css,5e7ffe39,Jacob Kavanal,2026-04-09,11:17:54,-07:00,2026-04-09T11:17:54-07:00,2,26
style.css,93,css,98c07d8f,Jacob Kavanal,2026-05-02,14:05:28,-07:00,2026-05-02T14:05:28-07:00,2,15
style.css,94,css,5e7ffe39,Jacob Kavanal,2026-04-09,11:17:54,-07:00,2026-04-09T11:17:54-07:00,0,0
style.css,95,css,5e7ffe39,Jacob Kavanal,2026-04-09,11:17:54,-07:00,2026-04-09T11:17:54-07:00,0,0
style.css,96,css,5e7ffe39,Jacob Kavanal,2026-04-09,11:17:54,-07:00,2026-04-09T11:17:54-07:00,0,12
style.css,97,css,5e7ffe39,Jacob Kavanal,2026-04-09,11:17:54,-07:00,2026-04-09T11:17:54-07:00,2,8
style.css,98,css,5e7ffe39,Jacob Kavanal,2026-04-09,11:17:54,-07:00,2026-04-09T11:17:54-07:00,0,0
style.css,99,css,5e7ffe39,Jacob Kavanal,2026-04-09,11:17:54,-07:00,2026-04-09T11:17:54-07:00,0,0
style.css,100,css,98c07d8f,Jacob Kavanal,2026-05-02,14:05:28,-07:00,2026-05-02T14:05:28-07:00,0,13
style.css,101,css,98c07d8f,Jacob Kavanal,2026-05-02,14:05:28,-07:00,2026-05-02T14:05:28-07:00,2,8
style.css,102,css,98c07d8f,Jacob Kavanal,2026-05-02,14:05:28,-07:00,2026-05-02T14:05:28-07:00,2,49
style.css,103,css,98c07d8f,Jacob Kavanal,2026-05-02,14:05:28,-07:00,2026-05-02T14:05:28-07:00,0,0
style.css,104,css,98c07d8f,Jacob Kavanal,2026-05-02,14:05:28,-07:00,2026-05-02T14:05:28-07:00,0,0
style.css,105,css,98c07d8f,Jacob Kavanal,2026-05-02,14:05:28,-07:00,2026-05-02T14:05:28-07:00,0,17
style.css,106,css,98c07d8f,Jacob Kavanal,2026-05-02,14:05:28,-07:00,2026-05-02T14:05:28-07:00,2,12
style.css,107,css,98c07d8f,Jacob Kavanal,2026-05-02,14:05:28,-07:00,2026-05-02T14:05:28-07:00,2,36
style.css,108,css,98c07d8f,Jacob Kavanal,2026-05-02,14:05:28,-07:00,2026-05-02T14:05:28-07:00,2,13
style.css,109,css,98c07d8f,Jacob Kavanal,2026-05-02,14:05:28,-07:00,2026-05-02T14:05:28-07:00,2,17
style.css,110,css,98c07d8f,Jacob Kavanal,2026-05-02,14:05:28,-07:00,2026-05-02T14:05:28-07:00,0,0
style.css,111,css,98c07d8f,Jacob Kavanal,2026-05-02,14:05:28,-07:00,2026-05-02T14:05:28-07:00,0,0
